Name,Age,Nationality,Fifa Score,Club,Value,Salary
Carlos Henriques,23,Portugal,65,Portimonense SC,€525K,€2K
N. Dumitru,25,Italy,65,AD Alcorcón,€600K,€4K
P. Pentke,32,Germany,65,SSV Jahn Regensburg,€300K,€3K
B. Bellot,26,Germany,65,Brøndby IF,€425K,€4K
S. Gasanov,23,Russia,65,Tromsø IL,€725K,€1K
C. Andriamahitsinoro,27,Madagascar,65,Ohod Club,€575K,€6K
F. Nouble,25,England,65,Newport County,€700K,€4K
C. Wernitznig,27,Austria,65,Wolfsberger AC,€575K,€4K
M. Al Bishi,30,Saudi Arabia,65,Al Faisaly,€400K,€7K
D. Björnquist,28,Sweden,65,AFC Eskilstuna,€425K,€2K
F. Kurto,26,Poland,65,Roda JC Kerkrade,€450K,€3K
C. Reilly,23,Republic of Ireland,65,Bury,€775K,€3K
T. Wendel,28,Germany,65,Sportfreunde Lotte,€450K,€1K
I. Chebake,27,Morocco,65,Evkur Yeni Malatyaspor,€500K,€4K
A. Esposito,31,Italy,65,Cesena,€375K,€1K
F. Lohkemper,22,Germany,65,1. FC Magdeburg,€775K,€1K
S. Clémence,29,France,65,Tours FC,€550K,€3K
C. Fagan,28,Republic of Ireland,65,St. Patrick's Athletic,€550K,€1K
L. Burliga,29,Poland,65,Jagiellonia Białystok,€400K,€3K
S. Luna,29,Argentina,65,Belgrano de Córdoba,€400K,€4K
G. Pezzella,19,Italy,65,Udinese,€900K,€4K
L. Bailly,31,Belgium,65,Royal Excel Mouscron,€325K,€3K
B. Adjei-Boateng,23,Ghana,65,Colorado Rapids,€825K,€2K
N. Poulsen,23,Denmark,65,Sarpsborg 08 FF,€725K,€4K
K. Londoño,23,Colombia,65,Jaguares Fútbol Club,€800K,€1K
C. Kammlott,27,Germany,65,Rot-Weiß Erfurt,€575K,€1K
D. Mendoza,24,Argentina,65,Club Atlético Huracán,€775K,€4K
R. Hayasaka,31,Japan,65,Hokkaido Consadole Sapporo,€475K,€2K
J. Husband,23,England,65,Norwich City,€600K,€8K
N. Tkalčić,27,Croatia,65,IFK Norrköping,€575K,€2K
P. Salomon,29,Austria,65,SCR Altach,€525K,€5K
M. Schulze Niehues,28,Germany,65,SC Preußen Münster,€375K,€1K
M. Friedrich,21,Germany,65,FC Augsburg,€775K,€5K
A. Al Enezi,26,Saudi Arabia,65,Al Nassr,€425K,€8K
P. Hatzidiakos,20,Greece,65,AZ Alkmaar,€725K,€2K
Peter Abradanel,29,Brazil,65,Associação Atlética Ponte Preta,€375K,€4K
J. Makengo,19,France,65,OGC Nice,€1.1M,€5K
Z. Gordon,24,Scotland,65,Jagiellonia Białystok,€575K,€3K
A. Dyer,27,Montserrat,65,IF Elfsborg,€600K,€2K
C. Gustafsson,30,Sweden,65,IK Sirius,€500K,€1K
T. Acar,31,Turkey,65,Medicana Sivasspor,€325K,€3K
B. Schenkeveld,25,Netherlands,65,Melbourne City,€550K,€3K
N. Körber,20,Germany,65,SC Preußen Münster,€775K,€4K
E. Lancini,23,Italy,65,Brescia,€625K,€1K
M. Devlin,23,Scotland,65,Hamilton Academical FC,€725K,€2K
P. Pawlett,26,Scotland,65,Milton Keynes Dons,€625K,€4K
Alvaro Rey,27,Spain,65,Arka Gdynia,€575K,€3K
P. Cissé,21,Senegal,65,Olympiakos CFP,€650K,€1K
Josan,27,Spain,65,Albacete Balompié,€575K,€3K
P. Dahlberg,18,Sweden,65,IFK Göteborg,€775K,€1K
M. Kennedy,22,Scotland,65,Portsmouth,€750K,€7K
N. Fitzgerald,25,Australia,65,Melbourne City,€650K,€4K
Yeray,29,Spain,65,C.D. Leonesa S.A.D.,€525K,€3K
L. Görtler,23,Germany,65,FC Utrecht,€750K,€4K
S. Dawson,31,Republic of Ireland,65,Bury,€475K,€4K
E. Alfonso,29,Italy,65,Cittadella,€425K,€1K
K. Larsen,25,Norway,65,Lyngby BK,€650K,€4K
Jo Young Cheol,28,Korea Republic,65,Sangju Sangmu FC,€550K,€3K
D. Mariani,26,Switzerland,65,FC Lugano,€650K,€3K
Jin Seong Wook,23,Korea Republic,65,Jeju United FC,€775K,€2K
R. Marquez,25,United States,65,Philadelphia Union,€575K,€2K
S. Akasaki,25,Japan,65,Gamba Osaka,€700K,€4K
Soriano,19,Spain,65,Sevilla Atlético,€650K,€1K
A. Khalaf,25,Iraq,65,Ettifaq FC,€575K,€4K
A. García,25,Mexico,65,U.N.A.M.,€575K,€5K
D. Calvert-Lewin,20,England,65,Everton,€1.2M,€20K
S. Alakouch,18,France,65,Nîmes Olympique,€1M,€1K
O. Pehrsson,29,Sweden,65,IK Sirius,€425K,€1K
J. Leudo,23,Colombia,65,Atlético Huila,€625K,€1K
J. Brison,34,France,65,Chamois Niortais FC,€150K,€2K
G. Marinelli,28,Argentina,65,Colon de Santa Fe,€475K,€3K
P. Wiegers,27,Germany,65,SG Dynamo Dresden,€425K,€3K
I. Escobar,21,Argentina,65,Talleres de Cordoba,€725K,€3K
J. Mårtensson,28,Sweden,65,Örebro SK,€525K,€2K
K. Ntlhe,23,South Africa,65,Rochdale,€600K,€2K
L. Grozurek,25,Austria,65,FC Admira Wacker Mödling,€650K,€3K
W. Mosquera,32,Colombia,65,Jaguares Fútbol Club,€300K,€1K
T. Endoh,23,Japan,65,Toronto FC,€725K,€2K
R. McArdle,30,Northern Ireland,65,Scunthorpe United,€400K,€4K
Jang Seong Jae,21,Korea Republic,65,Ulsan Hyundai Horang-i,€925K,€2K
V. Ilyin,23,Russia,65,FC Ural,€775K,€9K
L. Gil,23,United States,65,Colorado Rapids,€700K,€3K
K. Appiah,26,Ghana,65,AFC Wimbledon,€650K,€3K
A. Filtsov,27,Russia,65,Rubin Kazan,€450K,€9K
B. Kluft,27,Germany,65,Chemnitzer FC,€575K,€1K
Ary Papel,23,Angola,65,Sporting CP,€750K,€4K
J. Clarke,22,England,65,Brentford,€750K,€10K
D. Valoyes,20,Colombia,65,La Equidad,€1.2M,€1K
R. Preißinger,20,Germany,65,VfR Aalen,€725K,€1K
Lee Kyu Ro,28,Korea Republic,65,FC Seoul,€425K,€3K
A. Uludağ,26,Turkey,65,Gençlerbirliği SK,€525K,€5K
D. Bronn,22,Tunisia,65,KAA Gent,€650K,€5K
E. Sarraj,27,Saudi Arabia,65,Al Faisaly,€575K,€10K
N. Sonko Sundberg,21,Sweden,65,GIF Sundsvall,€725K,€2K
S. Mattila,27,Finland,65,SønderjyskE,€500K,€4K
F. Paghera,25,Italy,65,Avellino,€675K,€2K
T. Bertels,30,Germany,65,SC Paderborn 07,€400K,€1K
Dani Sotres,24,Spain,65,RC Celta de Vigo,€550K,€4K
S. Emmanuello,23,Italy,65,Perugia,€775K,€7K
T. Knoflach,23,Austria,65,SK Rapid Wien,€550K,€4K
R. Allen,27,United States,65,New York City Football Club,€500K,€2K
R. Barrios,24,Argentina,65,Defensa y Justicia,€625K,€3K
T. Nguen,23,Norway,65,Strømsgodset IF,€825K,€1K
G. Diaz,21,Colombia,65,Independiente Medellín,€775K,€1K
F. Del Sole,19,Italy,65,Pescara,€1.2M,€1K
J. Nietfeld,23,Germany,65,SSV Jahn Regensburg,€775K,€4K
O. Aydoğan,20,Germany,65,Karlsruher SC,€925K,€10K
Assis,27,Brazil,65,Boavista FC,€375K,€2K
Jesús Alfaro,26,Spain,65,FC Barcelona B,€625K,€3K
Y. Igawa,34,Japan,65,Kawasaki Frontale,€160K,€3K
S. Tekerci,23,Turkey,65,FSV Zwickau,€750K,€1K
C. Dunkley,25,England,65,Wigan Athletic,€575K,€4K
C. Vargas,27,Colombia,65,Atletico Nacional Medellin,€450K,€1K
C. Wingert,35,United States,65,Real Salt Lake,€120K,€2K
J. Hinestroza,21,Colombia,65,Tigres FC,€875K,€1K
F. Børsting,22,Denmark,65,Aalborg BK,€800K,€4K
J. Cullen,21,Republic of Ireland,65,Bolton Wanderers,€950K,€17K
M. Schröter,21,Germany,65,FSV Zwickau,€675K,€1K
G. Omae,27,Japan,65,Omiya Ardija,€575K,€2K
J. Valencia,35,Colombia,65,Deportivo Pasto,€230K,€1K
B. Johnsen,25,Norway,65,ADO Den Haag,€700K,€4K
F. Selemani,23,France,65,FC Lorient,€800K,€2K
T. Hayashi,34,Japan,65,Sanfrecce Hiroshima,€220K,€3K
I. Petryak,23,Ukraine,65,Shakhtar Donetsk,€750K,€1K
G. Gope-Fenepej,28,New Caledonia,65,Amiens SC Football,€550K,€6K
D. Serna,23,United States,65,Colorado Rapids,€750K,€2K
C. Tabó,23,Uruguay,65,Club Atlas,€800K,€5K
K. Ford,21,United States,65,Colorado Rapids,€850K,€2K
G. Gunning,26,Republic of Ireland,65,Port Vale,€550K,€5K
K. Morisaki,36,Japan,65,Sanfrecce Hiroshima,€70K,€3K
F. Ortíz,24,Mexico,65,Monarcas Morelia,€725K,€3K
J. Steer,24,England,65,Aston Villa,€550K,€6K
M. Schmerböck,23,Austria,65,SK Sturm Graz,€725K,€5K
J. Hamilton,21,Canada,65,Toronto FC,€825K,€2K
C. Woodrow,22,England,65,Bristol City,€850K,€11K
D. Georgievski,29,FYR Macedonia,65,Newcastle Jets,€400K,€2K
Augusto,29,Portugal,65,Śląsk Wrocław,€400K,€3K
B. Garnica,21,Mexico,65,Club Atlas,€925K,€5K
Park Dong Jin,22,Korea Republic,65,GwangJu FC,€675K,€1K
P. Tomasik,29,Poland,65,Jagiellonia Białystok,€400K,€3K
Lúcio Corteijo,25,Brazil,65,Vitória,€475K,€4K
M. Omoh,25,Nigeria,65,Örebro SK,€650K,€2K
T. Archibald-Henville,28,England,65,Exeter City,€500K,€4K
S. Okoli,24,United States,65,New York City Football Club,€775K,€3K
A. Keita,30,Sweden,65,Östersunds FK,€350K,€1K
G. Kobel,19,Switzerland,65,TSG 1899 Hoffenheim,€950K,€3K
M. Fitzgerald,28,Japan,65,Kawasaki Frontale,€450K,€3K
F. Darwish,25,Saudi Arabia,65,Al Hilal,€475K,€9K
Ham Seok Min,23,Korea Republic,65,Suwon Samsung Bluewings,€550K,€2K
S. Colombatto,20,Argentina,65,Perugia,€1.2M,€10K
S. Sané,24,Germany,65,SG Sonnenhof Großaspach,€725K,€1K
J. Tverskov,24,Denmark,65,Odense Boldklub,€675K,€3K
M. Solís,34,Colombia,65,Independiente Santa Fe,€220K,€1K
R. Sweeney,20,Republic of Ireland,65,Bristol Rovers,€1.1M,€11K
G. Amiot,22,France,65,Bourg en Bresse Péronnas 01,€675K,€2K
M. Troiano,32,Italy,65,Virtus Entella,€400K,€1K
G. Marchegiani,21,Italy,65,Ferrara (SPAL),€975K,€2K
F. Escobar,22,Panama,65,New York Red Bulls,€625K,€2K
E. Palmer-Brown,20,United States,65,Sporting Kansas City,€1.1M,€2K
M. Madri,27,France,65,RC Lens,€575K,€3K
J. McCarthy,24,United States,65,Philadelphia Union,€550K,€2K
T. Dekker,19,Netherlands,65,VVV-Venlo,€725K,€2K
Park Won Jae,33,Korea Republic,65,Jeonbuk Hyundai Motors,€210K,€3K
E. Boldewijn,24,Netherlands,65,Crawley Town,€750K,€3K
F. Dagerstål,20,Sweden,65,IFK Norrköping,€775K,€1K
B. Straetman,19,Belgium,65,Sporting Lokeren,€950K,€3K
C. Shields,26,Republic of Ireland,65,Dundalk,€550K,€1K
Gálvez,24,Spain,65,Albacete Balompié,€650K,€2K
Ewerton,24,Brazil,65,Portimonense SC,€575K,€2K
S. Leuko,23,Cameroon,65,CD Lugo,€650K,€2K
A. McCormack,33,Republic of Ireland,65,Luton Town,€220K,€5K
A. Esaka,25,Japan,65,Omiya Ardija,€700K,€2K
F. Costa,22,Italy,65,Ferrara (SPAL),€750K,€4K
J. Zwischenbrugger,27,Austria,65,SCR Altach,€500K,€5K
Adnan Vidual,25,Brazil,65,Sport Club do Recife,€475K,€4K
J. Grant,29,Jamaica,65,Plymouth Argyle,€525K,€4K
Zizo,21,Egypt,65,Moreirense FC,€825K,€2K
F. Acosta,21,Uruguay,65,Villarreal CF,€875K,€7K
D. Avdić,28,Sweden,65,AIK Solna,€550K,€4K
Nacho Méndez,19,Spain,65,Real Sporting de Gijón,€1.1M,€2K
M. Tauber,32,Denmark,65,Lyngby BK,€300K,€3K
D. Bergqvist,24,Sweden,65,Östersunds FK,€625K,€2K
H. Da Campo,22,Argentina,65,Rosario Central,€750K,€4K
Y. Iwakami,27,Japan,65,Omiya Ardija,€575K,€2K
R. O'Donovan,31,Republic of Ireland,65,Newcastle Jets,€475K,€2K
C. Ezeh,19,Nigeria,65,Portimonense SC,€775K,€2K
Y. Herrera,19,Venezuela,65,New York City Football Club,€825K,€2K
M. Hofrath,24,Germany,65,SSV Jahn Regensburg,€575K,€3K
N. Dibble,20,Uruguay,65,Gimnasia y Esgrima La Plata,€875K,€4K
R. Gigolaev,27,Russia,65,Terek Grozny,€575K,€9K
G. Allison,26,Mexico,65,Cruz Azul,€425K,€6K
E. Scheel,27,Denmark,65,SønderjyskE,€575K,€4K
J. Varela,29,Colombia,65,Águilas Doradas,€525K,€1K
Bruno Leite,22,Portugal,65,FK Haugesund,€850K,€1K
D. Lewington,33,England,65,Milton Keynes Dons,€210K,€4K
L. Villarruel,26,Argentina,65,Bahía Blanca,€575K,€4K
S. Drewniak,23,Poland,65,Cracovia,€600K,€2K
D. Novoa,28,Colombia,65,La Equidad,€450K,€1K
L. Pérez,27,Italy,65,Ascoli,€625K,€2K
A. Lutego,29,Chile,65,Club de Deportes Temuco,€425K,€1K
F. Picault,26,United States,65,Philadelphia Union,€625K,€3K
Davidson,26,Brazil,65,Grupo Desportivo de Chaves,€575K,€3K
A. Hrustic,20,Australia,65,FC Groningen,€800K,€3K
A. Corzo,28,Peru,65,,€0,€0.00
H. Savran,32,Germany,65,VfL Osnabrück,€425K,€1K
E. Capradossi,21,Italy,65,Bari,€775K,€10K
F. Le Joncour,22,France,65,SM Caen,€675K,€5K
Diogo Queirós,18,Portugal,65,FC Porto,€850K,€2K
G. Maggiore,19,Italy,65,La Spezia,€1.1M,€1K
H. Arslan,28,Turkey,65,Medicana Sivasspor,€450K,€4K
A. Rossi,20,Italy,65,Salernitana,€1.2M,€10K
L. Kelly,27,Scotland,65,Coventry City,€550K,€5K
L. Zingerle,23,Germany,65,SC Paderborn 07,€550K,€1K
José Perales,24,Spain,65,Gimnàstic de Tarragona,€550K,€2K
M. Ćosić,23,Croatia,65,FK Haugesund,€600K,€1K
S. Ryall,27,Australia,65,Sydney FC,€450K,€3K
M. Jiménez,27,Mexico,65,Guadalajara,€450K,€10K
B. Samba,23,Congo,65,SM Caen,€500K,€4K
M. Aaquist,22,Denmark,65,FC Nordsjælland,€875K,€4K
R. Lameiras,22,Portugal,65,Plymouth Argyle,€750K,€3K
M. Sadler,32,England,65,Shrewsbury,€300K,€2K
S. Sarr,21,Senegal,65,La Berrichonne de Châteauroux,€700K,€3K
J. Aguilar,22,Panama,65,Estoril Praia,€750K,€3K
O. Bagüí,34,Ecuador,65,,€0,€0.00
Yoo Hyun,32,Korea Republic,65,FC Seoul,€300K,€2K
A. Acosta,29,Mexico,65,Tigres U.A.N.L.,€400K,€15K
J. Malagón,24,Colombia,65,Tigres FC,€650K,€1K
S. Bannigan,24,Scotland,65,Partick Thistle F.C.,€625K,€2K
Leandrinho,18,Brazil,65,Napoli,€1.1M,€8K
D. Petković,24,Montenegro,65,FC Lorient,€525K,€2K
J. Coppens,26,Belgium,65,FC Carl Zeiss Jena,€450K,€1K
C. Källqvist,33,Sweden,65,BK Häcken,€270K,€1K
F. Doré,28,Congo,65,Clermont Foot 63,€550K,€8K
Fran Rodríguez,22,Spain,65,UD Almería,€600K,€2K
B. Kallman,26,United States,65,Minnesota Thunder,€475K,€2K
K. Coulibaly,24,France,65,Willem II,€750K,€3K
R. Vera,34,Argentina,65,Club Atlético Patronato,€160K,€3K
A. Østli,34,Norway,65,Sarpsborg 08 FF,€160K,€1K
K. Walker-Peters,20,England,65,Tottenham Hotspur,€1.1M,€14K
J. Müller,27,Germany,65,SpVgg Unterhaching,€575K,€1K
Lim Min Hyuk,20,Korea Republic,65,FC Seoul,€850K,€2K
G. Balažic,29,Slovenia,65,FC Ural,€425K,€9K
A. Faltsetas,29,Sweden,65,BK Häcken,€525K,€2K
M. Amini,24,Australia,65,Aarhus GF,€675K,€4K
E. Digbeu,25,France,65,Bourg en Bresse Péronnas 01,€575K,€2K
P. Müller,22,Germany,65,SV Wehen Wiesbaden,€825K,€1K
R. Gojani,24,Sweden,65,Jönköpings Södra IF,€700K,€1K
S. Bueno,18,Uruguay,65,FC Barcelona B,€1M,€1K
S. Kleineheismann,29,Germany,65,Hallescher FC,€425K,€1K
Kim Min Hyeok,24,Korea Republic,65,GwangJu FC,€700K,€1K
M. Jensen,21,Denmark,65,FC Nordsjælland,€875K,€4K
L. Strizzolo,25,Italy,65,Cittadella,€700K,€1K
J. Cox,23,Panama,65,Envigado FC,€800K,€1K
T. Röttger,31,Germany,65,SG Sonnenhof Großaspach,€475K,€1K
Z. Valentin,25,United States,65,Portland Timbers,€550K,€2K
H. Shaian,28,Saudi Arabia,65,Al Nassr,€375K,€8K
F. Álvarez,24,Colombia,65,Independiente Medellín,€625K,€1K
Park Yong Woo,23,Korea Republic,65,Ulsan Hyundai Horang-i,€625K,€2K
J. Derstroff,25,Germany,65,SV Sandhausen,€675K,€2K
De La Hoz,25,Spain,65,Albacete Balompié,€650K,€6K
H. Bjørdal,20,Norway,65,Brighton & Hove Albion,€875K,€10K
A. Hadžiahmetović,20,Bosnia Herzegovina,65,Atiker Konyaspor,€975K,€4K
S. Maierhofer,34,Austria,65,SV Mattersburg,€280K,€7K
C. Ramsebner,28,Austria,65,LASK Linz,€500K,€5K
Freire,27,Brazil,65,Shimizu S-Pulse,€450K,€2K
O. Mangala,19,Belgium,65,VfB Stuttgart,€1.1M,€4K
B. Lennon,19,United States,65,Real Salt Lake,€950K,€15K
P. Sohm,25,Germany,65,SG Sonnenhof Großaspach,€675K,€1K
B. Figueroa,18,Mexico,65,U.N.A.M.,€725K,€4K
D. Briceño,31,Colombia,65,Alianza Petrolera,€375K,€1K
K. Thiam,23,Senegal,65,Dinamo Moscow,€625K,€7K
N. Ampomah,21,Ghana,65,Waasland-Beveren,€800K,€3K
J. Orlov,31,Sweden,65,SK Brann,€475K,€2K
J. Gyamerah,22,Germany,65,VfL Bochum,€750K,€4K
A. Doukha,30,Algeria,65,Ohod Club,€350K,€5K
T. Rodríguez,21,Argentina,65,Genoa,€975K,€7K
J. Izumisawa,25,Japan,65,Gamba Osaka,€675K,€4K
M. Connolly,25,Republic of Ireland,65,Crawley Town,€600K,€3K
Jeong Dong Ho,27,Korea Republic,65,Ulsan Hyundai Horang-i,€450K,€2K
M. Pitton,22,Argentina,65,Unión de Santa Fe,€625K,€3K
L. Blessing,20,Ghana,65,Sporting Kansas City,€750K,€2K
T. Al Absi,24,Saudi Arabia,65,Al Taawoun,€625K,€5K
M. Moscati,24,Italy,65,Novara,€700K,€1K
V. Kravets,19,Ukraine,65,CD Lugo,€725K,€1K
K. Kikuchi,31,Japan,65,Omiya Ardija,€375K,€2K
Kim Dae Jung,24,Korea Republic,65,Incheon United FC,€625K,€2K
L. Coyle,21,England,65,Fleetwood Town,€750K,€7K
F. Crivelli,35,Argentina,65,Club Atlético Tigre,€130K,€2K
J. Amoroso,29,Argentina,65,Newell's Old Boys,€525K,€5K
A. Iunco,33,Italy,65,Cittadella,€350K,€1K
Diego Alende,19,Spain,65,RC Celta de Vigo,€725K,€3K
Ruca,26,Portugal,65,Tondela,€525K,€2K
S. Silva,27,Sweden,65,Palermo,€625K,€2K
M. Edwards,18,England,65,Tottenham Hotspur,€1.2M,€11K
S. Lagrou,25,Morocco,65,Al Nassr,€550K,€9K
M. Exslager,26,Germany,65,SC Fortuna Köln,€650K,€1K
A. Al Hafith,24,Saudi Arabia,65,Al Hilal,€725K,€8K
R. Garbuschewski,31,Germany,65,FSV Zwickau,€475K,€1K
Lee Myung Jae,23,Korea Republic,65,Ulsan Hyundai Horang-i,€700K,€2K
P. Koch,26,Switzerland,65,FC St. Gallen,€525K,€4K
V. Osimhen,18,Nigeria,65,VfL Wolfsburg,€1.1M,€10K
Jean Cleber,27,Brazil,65,CS Marítimo,€450K,€3K
T. Salamon,28,Austria,65,FK Austria Wien,€425K,€6K
K. Alston,29,United States,65,Orlando City Soccer Club,€400K,€3K
D. McMillan,28,Republic of Ireland,65,Dundalk,€550K,€1K
A. Corryn,23,Belgium,65,Royal Antwerp FC,€600K,€4K
S. Roux,24,New Zealand,65,Central Coast Mariners,€575K,€1K
G. De Feo,23,Italy,65,Ascoli,€675K,€1K
R. Bayard,23,France,65,Tours FC,€750K,€2K
L. Röser,23,Germany,65,SG Dynamo Dresden,€750K,€4K
K. Falkenberg,29,Germany,65,VfL Osnabrück,€400K,€1K
D. Jiménez,28,Mexico,65,Lobos de la BUAP,€550K,€3K
S. Moore,27,England,65,Sheffield United,€450K,€9K
O. Threlkeld,23,England,65,Plymouth Argyle,€625K,€3K
L. Esqueda,36,Mexico,65,Querétaro,€60K,€2K
G. Acampora,23,Italy,65,La Spezia,€750K,€1K
M. Mount,18,England,65,Vitesse,€1.1M,€2K
P. Funk,27,Germany,65,SV Wehen Wiesbaden,€500K,€1K
H. Bunn,24,England,65,Bury,€675K,€3K
C. Sammon,30,Republic of Ireland,65,Partick Thistle F.C.,€525K,€3K
C. Cato,24,Trinidad & Tobago,65,San Jose Earthquakes,€575K,€2K
A. Nabbout,24,Australia,65,Newcastle Jets,€750K,€1K
G. Esparza,24,Argentina,65,Puebla,€725K,€5K
P. Mišák,26,Slovakia,65,Termalica Bruk-Bet Nieciecza,€625K,€2K
M. Bíttolo,27,Argentina,65,Albacete Balompié,€500K,€3K
F. Rawson,20,England,65,Accrington Stanley,€775K,€10K
Kevin,24,Spain,65,RC Celta de Vigo,€650K,€5K
M. Ørnskov,31,Denmark,65,Lyngby BK,€475K,€4K
L. Berry,24,England,65,Luton Town,€725K,€5K
A. Kamara,23,Sierra Leone,65,Al Taawoun,€750K,€6K
B. Geens,21,Belgium,65,Sporting Lokeren,€650K,€2K
M. Halsti,33,Finland,65,FC Midtjylland,€220K,€7K
M. Ilaimaharitra,21,France,65,Sporting Charleroi,€725K,€3K
F. Grillo,24,Argentina,65,Vélez Sarsfield,€575K,€4K
Patrão,27,Portugal,65,Grupo Desportivo de Chaves,€600K,€3K
K. Nwakali,19,Nigeria,65,VVV-Venlo,€1M,€13K
J. Sudić,26,Sweden,65,BK Häcken,€550K,€2K
D. Gissi,26,Switzerland,65,Defensa y Justicia,€575K,€5K
N. Cameron,25,England,65,Bury,€625K,€3K
R. Edwards,23,England,65,Plymouth Argyle,€625K,€3K
D. Mangni,24,Italy,65,Atalanta,€750K,€7K
S. Ferguson,25,Northern Ireland,65,Millwall,€650K,€10K
J. Nilsson,23,Sweden,65,IF Elfsborg,€675K,€2K
P. Fryc,24,Poland,65,Termalica Bruk-Bet Nieciecza,€600K,€2K
Y. Attal,21,Algeria,65,KV Kortrijk,€725K,€3K
R. Godínez,24,Mexico,65,Lobos de la BUAP,€625K,€2K
Tarsi,22,Spain,65,Athletic Club de Bilbao,€825K,€6K
Ezkieta,20,Spain,65,FC Barcelona B,€975K,€1K
F. Lanzillotta,24,Argentina,65,Argentinos Juniors,€600K,€2K
M. Fink,27,Slovenia,65,Cracovia,€450K,€2K
M. Mikovič,26,Slovakia,65,Termalica Bruk-Bet Nieciecza,€575K,€2K
A. Collin,32,England,65,Notts County,€300K,€4K
D. Rose,29,England,65,Portsmouth,€525K,€4K
J. Tosik,30,Poland,65,Zagłębie Lubin,€400K,€3K
T. Morita,26,Japan,65,Albirex Niigata,€450K,€1K
S. Żurkowski,19,Poland,65,Górnik Zabrze,€900K,€1K
S. Kukuruzović,28,Croatia,65,FC St. Gallen,€525K,€5K
A. Al Mutairi,31,Saudi Arabia,65,Al Fayha,€475K,€6K
Lasure,23,Spain,65,Real Zaragoza,€650K,€3K
Evandro,29,Brazil,65,Daegu FC,€550K,€2K
P. Taylor,29,England,65,Bradford City,€525K,€4K
W. Suwayyid,29,Saudi Arabia,65,Al Faisaly,€400K,€7K
I. Radu,20,Romania,65,Avellino,€775K,€8K
P. Estupiñán,19,Ecuador,65,UD Almería,€725K,€7K
L. Martínez,30,Mexico,65,Tiburones Rojos de Veracruz,€500K,€3K
N. Clarke,33,England,65,Grimsby Town,€220K,€4K
José Cruz,28,Spain,65,Viking FK,€450K,€2K
C. Curran,27,England,65,Ross County FC,€575K,€3K
S. López,31,Argentina,65,Jaguares Fútbol Club,€325K,€1K
F. Angileri,23,Argentina,65,Godoy Cruz,€725K,€4K
J. Bager,20,Denmark,65,Randers FC,€700K,€3K
A. Vetrih,26,Slovenia,65,,€0,€0.00
K. Pannewitz,25,Germany,65,FC Carl Zeiss Jena,€600K,€1K
B. Kopacz,25,Poland,65,Zagłębie Lubin,€575K,€3K
H. Patronen,33,Finland,65,HJK Helsinki,€220K,€1K
F. Cristaldo,20,Argentina,65,Defensa y Justicia,€650K,€5K
T. Parkes,25,England,65,Carlisle United,€525K,€4K
S. Lovric,19,Austria,65,SK Sturm Graz,€825K,€3K
N. Butzen,24,Germany,65,1. FC Magdeburg,€675K,€1K
N. Di Roberto,31,Italy,65,Salernitana,€475K,€2K
G. Zelalem,20,United States,65,Arsenal,€875K,€18K
R. Brown,21,England,65,Forest Green,€850K,€4K
F. Escobar,22,Argentina,65,Newell's Old Boys,€675K,€4K
D. Zeefuik,19,Netherlands,65,Ajax,€725K,€2K
S. Salviato,29,Italy,65,Cremonese,€400K,€1K
R. Dow,26,Scotland,65,Ross County FC,€625K,€3K
S. Adekugbe,22,Canada,65,IFK Göteborg,€650K,€2K
P. Foden,17,England,65,Manchester City,€1.1M,€15K
A. Poggenborg,33,Germany,65,SC Fortuna Köln,€270K,€1K
E. Gómez,23,Argentina,65,Rosario Central,€600K,€4K
M. Finotto,24,Italy,65,Ternana,€725K,€4K
K. Sadlier,22,Republic of Ireland,65,Cork City,€875K,€1K
T. Hołota,26,Poland,65,Pogoń Szczecin,€550K,€2K
D. Payne,21,United States,65,Excelsior,€650K,€2K
J. Lillis,30,England,65,Rochdale,€350K,€2K
P. Rosario,20,Netherlands,65,PSV,€875K,€4K
Sim Sang Min,24,Korea Republic,65,FC Seoul,€750K,€2K
I. Diallo,20,Mali,65,KAS Eupen,€775K,€3K
Choi Kyu Baek,23,Korea Republic,65,Ulsan Hyundai Horang-i,€650K,€2K
E. Palos,31,Mexico,65,Tigres U.A.N.L.,€325K,€12K
M. Rojas,21,Paraguay,65,Club Atlético Lanús,€975K,€4K
Pedro Silva,20,Portugal,65,Sporting CP,€775K,€2K
D. Khomich,32,Russia,65,Amkar Perm,€300K,€5K
Kim Dong Jin,24,Korea Republic,65,Daegu FC,€600K,€2K
G. Montoya,34,Argentina,65,Belgrano de Córdoba,€220K,€3K
Paulo Otávio,22,Brazil,65,FC Ingolstadt 04,€700K,€5K
A. Al Shammari,28,Saudi Arabia,65,Al Raed,€425K,€6K
E. Bajrami,29,Sweden,65,IF Elfsborg,€525K,€2K
T. Elliott,26,England,65,Millwall,€675K,€11K
R. Salinas,31,Argentina,65,Ettifaq FC,€475K,€5K
M. Castro,29,Uruguay,65,Unión de Santa Fe,€375K,€3K
M. Dumbuya,29,Sierra Leone,65,Partick Thistle F.C.,€400K,€2K
S. Benyamina,27,Germany,65,Hansa Rostock,€575K,€1K
J. Quiroga,35,Argentina,65,Belgrano de Córdoba,€120K,€3K
S. Tronstad,21,Norway,65,FK Haugesund,€725K,€1K
T. Lapslie,21,England,65,Colchester United,€725K,€4K
J. Rivas,29,Colombia,65,CD Los Millionarios Bogota,€425K,€2K
